Temp,np_con,C2mim
-10,0,2.3334
-5,0,3.0615
0,0,3.907
5,0,4.8433
10,0,5.927
15,0,7.1332
20,0,8.3575
25,0,9.7901
30,0,11.3174
35,0,12.96
40,0,14.6943
45,0,16.5338
50,0,18.4895
55,0,20.5221
60,0,22.6279
65,0,24.8383
70,0,27.8155
75,0,30.2196
80,0,32.6969
-10,0.1,2.4476
-5,0.1,3.1287
0,0.1,3.91
5,0.1,4.8063
10,0.1,5.808
15,0.1,6.8445
20,0.1,8.0197
25,0.1,9.3176
30,0.1,10.7596
35,0.1,12.2314
40,0.1,13.8419
45,0.1,15.5464
50,0.1,17.3517
55,0.1,19.2231
60,0.1,21.157
65,0.1,23.1879
70,0.1,25.2821
75,0.1,27.443
80,0.1,30.4362
-10,0.5,5.7854
-5,0.5,6.7746
0,0.5,7.8632
5,0.5,8.9592
10,0.5,10.2662
15,0.5,11.6678
20,0.5,13.0736
25,0.5,14.6664
30,0.5,16.3803
35,0.5,18.2279
40,0.5,20.1533
45,0.5,22.1961
50,0.5,24.3738
55,0.5,26.5596
60,0.5,28.8636
65,0.5,31.8178
70,0.5,34.5495
75,0.5,37.1448
80,0.5,39.796
-10,0.25,3.9853
-5,0.25,4.8002
0,0.25,5.722
5,0.25,6.6536
10,0.25,7.7509
15,0.25,8.9487
20,0.25,10.1354
25,0.25,11.486
30,0.25,12.9409
35,0.25,14.502
40,0.25,16.1341
45,0.25,17.8466
50,0.25,19.663
55,0.25,21.5236
60,0.25,23.4472
65,0.25,26.1028
70,0.25,28.203
75,0.25,30.3805
80,0.25,32.6059
-10,0.75,6.561
-5,0.75,7.6101
0,0.75,8.6639
5,0.75,9.923
10,0.75,11.2887
15,0.75,12.7492
20,0.75,14.0767
25,0.75,15.7113
30,0.75,17.4638
35,0.75,19.3012
40,0.75,21.2353
45,0.75,23.2684
50,0.75,25.4132
55,0.75,27.6034
60,0.75,29.8699
65,0.75,32.2102
70,0.75,35.5183
75,0.75,38.0625
80,0.75,40.6602
-10,1,16.2822
-5,1,17.7146
0,1,18.163
5,1,20.7582
10,1,22.3953
15,1,24.1223
20,1,24.8693
25,1,26.7381
30,1,28.7051
35,1,30.7683
40,1,28.7601
45,1,30.7755
50,1,32.9141
55,1,35.75
60,1,38.031
65,1,41.1801
70,1,43.6329
75,1,47.0746
80,1,49.7133
